N_Client,Nom_Client
--------,----------
3585,EIFFAGE CONSTRUCTION
6243,ALLAYRAT
19185,MAIRIE DE SAINT GRAVE
11917,EPADESA
19188,BRETAGNE SUD HABITAT
19189,MAIRIE DE BOUGUENAIS
19190,DISP DE RENNES
22628,EIFFAGE TP
18050,SNCF - CAI SUD OUEST
9071,AREVA NP
9073,RENAULT SA
22585,VILLE DE ST ROMAIN DE JALIONAS
22683,VILLE DU RELECQ KERHUON
22696,HOUYVET AURêLIEN
18252,SEM SEDEV VARS & CREVOUX
23695,CICO
18320,EDF OPTIMAL SOLUTIONS
18653,CONSEIL DEPARTEMENTAL DES HAUTES ALPES 05
3618,AMOME CONSEILS
3633,CASINO RESTAURATION
22654,CENTRE COMMERCIAL CORA
22666,MR ZADROZYNSKI PIERRE
22708,CC DE BIEVRE EST
22753,SYTRAIVAL
870,CONSEIL REGIONAL MARTINIQUE
18122,DRIEA IF AGER OUEST
875,ESCOTA
18123,DIRIF
9112,SNCF DIRECTION DE L'IMMOBILIER NORD
9114,SNCF DIRECTION DE L'MMOBILIER IDF
22579,VILLE DE HUNINGUE
22588,CA BOURGES
22722,LORIENT DEFENSE
22721,MAIRIE DE LIBOURNE
22723,SMGETU
3651,GFC CONSTRUCTION
6312,MAIRIE DE GENAS
6314,MAIRIE DE GREZIEU
9127,RTE CDI LYON
21192,CBI
19450,MAIRIE DE DINEAULT
19451,MAIRIE LE LANDREAU
19452,VALLOIRE HABITAT
19453,OPH FIRMINY
19456,GRTGAZ
19457,COLOMBES HABITAT PUBLIC
19459,HOPITAL LOCAL DE CHATEAUNEUF
22678,OBJECTIF HORIZON
22850,SCI DE LA GRANGE
23158,MANDATAIRE TERRA 13
902,MAIRIE DE CROLLES
18147,EDF OPTIMAL SOLUTION
18172,SEEF
18173,NIEVRE HABITAT
19532,COMMUNAUTE DE COMMUNES TUDE ET DRONNE
6330,MAIRIE DE POISY
19864,KERMARREC PROMOTION
22669,MAIRIE DE BRECE
