"Nom D'utilisateur";Roles;Local
a.audoire;ROLE_USER/;non
a.bachesais;ROLE_USER/;non
a.barraud;ROLE_USER/;non
a.barsot;ROLE_USER/;non
a.benabdellaoui;ROLE_USER/;non
a.bigot;ROLE_USER/;non
a.caproplacide;ROLE_USER/;non
a.carre;ROLE_USER/;non
a.chautard;ROLE_USER/;non
a.claudel;ROLE_USER/;non
a.corrot;ROLE_USER/;non
a.desquesses;ROLE_USER/;non
a.ducristel;ROLE_USER/;non
a.duverne;ROLE_USER/;non
a.forestier;ROLE_USER/;non
a.gacem;ROLE_USER/;non
a.gachot;ROLE_USER/;non
a.garnier;ROLE_USER/;non
a.guillenlobo;ROLE_USER/;non
a.jassoud;ROLE_USER/;non
a.kenana;ROLE_USER/;non
a.lefoulgoc;ROLE_USER/;non
a.leguenic;ROLE_USER/;non
a.monperrus;ROLE_USER/;non
a.montperrus;ROLE_USER/;non
a.moreau;ROLE_USER/;non
a.morin;ROLE_USER/;non
a.morisot;ROLE_USER/;non
a.nahuet;ROLE_USER/;non
a.perraud;ROLE_USER/;non
a.pouzols;ROLE_ADMIN/////////ROLE_USER/;non
a.rabasse;ROLE_USER/;non
a.rouabhia;ROLE_USER/;non
a.sauvageot;ROLE_USER/;non
a.sow;ROLE_USER/;non
a.talbot;ROLE_USER/;non
a.tarrit;ROLE_USER/;non
a.vallee;ROLE_USER/;non
a.zahir;ROLE_USER/;non
Administrateur;ROLE_USER/;non
airbat;ROLE_USER/;non
al.meltier;ROLE_USER/;non
as.perrinelle;ROLE_USER/;non
b.arnaud;ROLE_USER/;non
b.bobin;ROLE_USER/;non
b.deliat;ROLE_USER/;non
b.divard;ROLE_USER/;non
b.fortin;ROLE_USER/;non
b.fuhlhaber;ROLE_USER/;non
b.gandon;ROLE_USER/;non
b.gauthier;ROLE_USER/;non
b.mangin;ROLE_USER/;non
b.moraglia;ROLE_USER/;non
b.ponel;ROLE_USER/;non
b.robbe;ROLE_USER/;non
b.roudet;ROLE_USER/;non
b.rougetet;ROLE_USER/;non
b.stock;ROLE_USER/;non
b.weill;ROLE_USER/;non
batika;ROLE_USER/;non
be_admin;ROLE_USER/;non
c.andanson;ROLE_USER/;non
c.aujogues;ROLE_USER/;non
c.aurousseau;ROLE_USER/;non
c.barret;ROLE_USER/;non
c.bellot;ROLE_USER/;non
c.boinet;ROLE_USER/;non
c.buffet;ROLE_USER/;non
c.chareil;ROLE_USER/;non
c.cottarel;ROLE_USER/;non
c.decourville;ROLE_USER/;non
c.dreyer;ROLE_USER/;non
c.dufosse;ROLE_USER/;non
c.furlan;ROLE_USER/;non
c.guiet;ROLE_USER/;non
c.guigni;ROLE_USER/;non
c.hamelin;ROLE_USER/;non
c.hery;ROLE_USER/;non
c.janssen;ROLE_USER/;non
c.jeanneau;ROLE_USER/;non
c.landeau;ROLE_USER/;non
c.laplassotte;ROLE_USER/;non
c.lemiere;ROLE_USER/;non
c.lengronne;ROLE_USER/;non
c.letoupin;ROLE_USER/;non
c.mirabel;ROLE_USER/;non
c.paul;ROLE_USER/;non
c.quevreux;ROLE_USER/;non
c.ripplinger;ROLE_USER/;non
c.robillon;ROLE_USER/;non
c.rosier;ROLE_USER/;non
c.roussiau;ROLE_USER/;non
c.saget;ROLE_USER/;non
c.salvan;ROLE_USER/;non
c.thureau;ROLE_USER/;non
d.angebault;ROLE_USER/;non
d.badkouf;ROLE_USER/;non
d.breton;ROLE_USER/;non
d.brosseau;ROLE_USER/;non
d.cavron;ROLE_USER/;non
d.chagnaud;ROLE_USER/;non
d.chartoire;ROLE_USER/;non
d.eon;ROLE_USER/;non
d.guilbaud;ROLE_USER/;non
d.hoff;ROLE_USER/;non
d.holder;ROLE_USER/;non
d.jaimet;ROLE_USER/;non
d.lhenry;ROLE_USER/;non
d.liniger;ROLE_USER/;non
d.marras;ROLE_USER/;non
d.orso;ROLE_USER/;non
d.pasquet;ROLE_USER/;non
d.racouet;ROLE_USER/;non
d.rouveure;ROLE_USER/;non
e.alex;ROLE_USER/;non
e.besson;ROLE_USER/;non
e.bloch;ROLE_USER/;non
e.by;ROLE_USER/;non
e.detournay;ROLE_USER/;non
e.dorville;ROLE_USER/;non
e.feutren;ROLE_USER/;non
e.fremont;ROLE_USER/;non
e.fromont;ROLE_USER/;non
e.grand;ROLE_USER/;non
e.hermann;ROLE_USER/;non
e.kameni;ROLE_USER/;non
e.labrousse;ROLE_USER/;non
e.midali;ROLE_USER/;non
f.adnot;ROLE_USER/;non
f.aulnette;ROLE_USER/;non
f.balon;ROLE_USER/;non
f.barbier;ROLE_USER/;non
f.benfreha;ROLE_USER/;non
f.buczkowski;ROLE_USER/;non
f.chiron;ROLE_USER/;non
f.delapparent;ROLE_USER/;non
f.develay;ROLE_USER/;non
f.emmery;ROLE_USER/;non
f.essner;ROLE_USER/;non
f.faye;ROLE_USER/;non
f.ferro;ROLE_USER/;non
f.gabellone;ROLE_USER/;non
f.gesnot;ROLE_USER/;non
f.gomes;ROLE_USER/;non
f.hamon;ROLE_USER/;non
f.kleber;ROLE_USER/;non
f.lallemand;ROLE_USER/;non
f.landais;ROLE_USER/;non
f.larnaud;ROLE_USER/;non
f.magnin;ROLE_USER/;non
f.morel;ROLE_USER/;non
f.sechery;ROLE_USER/;non
g.chassigneux;ROLE_USER/;non
g.eskandar;ROLE_USER/;non
g.fouillade;ROLE_USER/;non
g.garrec;ROLE_USER/;non
g.germain;ROLE_USER/;non
g.gouesmel;ROLE_USER/;non
g.helary;ROLE_USER/;non
g.kersuzan;ROLE_USER/;non
g.lecoeur;ROLE_USER/;non
g.longefay;ROLE_USER/;non
g.lory;ROLE_USER/;non
g.petitot;ROLE_USER/;non
g.pivot;ROLE_USER/;non
g.siefert;ROLE_USER/;non
g.toure;ROLE_USER/;non
g.valy;ROLE_USER/;non
grc56-stagiaire;ROLE_USER/;non
h.boisard;ROLE_USER/;non
h.cadiou;ROLE_USER/;non
h.entzmann;ROLE_USER/;non
h.ghabara;ROLE_USER/;non
h.gourdon;ROLE_USER/;non
h.lacquement;ROLE_USER/;non
h.rabefarinotrona;ROLE_USER/;non
h.rejony;ROLE_USER/;non
i.bennett;ROLE_USER/;non
i.colombotto;ROLE_USER/;non
